#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-2023.2/1056505  (Jul 18 2023)  linux64  S2307180103             |
#| on Sun Mar 24 15:39:26 2024.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Siemens SLEC                                   |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [UI-BDS]     MEM usage after convert_std_fpoint_func_to_builtins = 163.629m 342.922p
     [UI-BDS]     CPU usage after cleanup = 11.788u 1.170s 12.958 0:18.000
     [UI-BDS]     MEM usage after cleanup = 131.500m 342.922p
     [UI-BDS]     CPU usage after insert_acprobecall_for_cformalassert_top = 11.788u 1.170s 12.958 0:18.000
     [UI-BDS]     MEM usage after insert_acprobecall_for_cformalassert_top = 131.500m 342.922p
     [UI-BDS]     CPU usage after handle_goto = 11.789u 1.170s 12.959 0:18.000
     [UI-BDS]     MEM usage after handle_goto = 131.500m 342.922p
     [UI-BDS]     CPU usage after remove_trailingstmts_after_jumpstmts = 11.790u 1.170s 12.960 0:18.000
     [UI-BDS]     MEM usage after remove_trailingstmts_after_jumpstmts = 131.501m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+64MB, +270MB, +15s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking CNS is 11.837u 1.180s 13.016 0:18.000
     [CPT-PRMS]   MEM usage after checking CNS is 131.838m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 11.837u 1.180s 13.017 0:18.000
     [UI-BDS]     MEM usage after do_design_checks = 131.837m 342.922p
     [UI-BDS]     CPU usage after prune_dead_selects = 11.838u 1.180s 13.017 0:18.000
     [UI-BDS]     MEM usage after prune_dead_selects = 131.837m 342.922p
     [UI-BDS]     CPU usage after replace_missing_assign_op_with_assignment = 11.838u 1.180s 13.018 0:18.000
     [UI-BDS]     MEM usage after replace_missing_assign_op_with_assignment = 131.838m 342.922p
     [UI-BDS]     CPU usage after transfer_pragmas_to_properties = 11.840u 1.180s 13.020 0:18.000
     [UI-BDS]     MEM usage after transfer_pragmas_to_properties = 131.838m 342.922p
     [UI-BDS]     CPU usage after handle_acchannel_size = 11.841u 1.180s 13.021 0:18.000
     [UI-BDS]     MEM usage after handle_acchannel_size = 131.839m 342.922p
     [UI-BDS]     CPU usage after remove_bottom_hier_ctor_from_top = 11.842u 1.180s 13.021 0:18.000
     [UI-BDS]     MEM usage after remove_bottom_hier_ctor_from_top = 131.839m 342.922p
     [UI-BDS]     CPU usage after transfer_array_size_from_parent_to_child_hierarchy = 11.842u 1.180s 13.022 0:18.000
     [UI-BDS]     MEM usage after transfer_array_size_from_parent_to_child_hierarchy = 131.840m 342.922p
     [UI-BDS]     CPU usage after identify_accumulators = 11.842u 1.180s 13.022 0:18.000
     [UI-BDS]     MEM usage after identify_accumulators = 131.840m 342.922p
     [UI-BDS]     CPU usage after predicate_switch_stmts = 11.843u 1.180s 13.023 0:18.000
     [UI-BDS]     MEM usage after predicate_switch_stmts = 131.841m 342.922p
     [UI-BDS]     CPU usage after convert_types = 11.848u 1.180s 13.027 0:18.000
     [UI-BDS]     MEM usage after convert_types = 131.841m 342.922p
     [UI-BDS]     CPU usage after normalize_negating_exprs = 11.848u 1.181s 13.029 0:18.000
     [UI-BDS]     MEM usage after normalize_negating_exprs = 131.837m 342.922p
     [UI-BDS]     CPU usage after create_cdb_symbols = 11.849u 1.181s 13.029 0:18.000
     [UI-BDS]     MEM usage after create_cdb_symbols = 131.846m 342.922p
     [UI-BDS]     CPU usage after add_missing_default_ctor_for_static_objects = 11.849u 1.181s 13.030 0:18.000
     [UI-BDS]     MEM usage after add_missing_default_ctor_for_static_objects = 131.846m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking CGR is 11.850u 1.181s 13.031 0:18.000
     [CPT-PRMS]   MEM usage after checking CGR is 131.847m 342.922p
     [CPT-PRCS]   CPU usage after checking AWE is 11.850u 1.181s 13.031 0:18.000
     [CPT-PRMS]   MEM usage after checking AWE is 131.847m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 11.851u 1.181s 13.031 0:18.000
     [UI-BDS]     MEM usage after do_design_checks = 131.846m 342.922p
     [CPT-LBAI]   Loop at path '(/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:24)' has max bounds '9' .
     [CPT-LBAI]   Loop at path '(/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:31)' has max bounds '9' .
     [CPT-LBAI]   Loop at path '(/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:14)' has max bounds '9' .
     [UI-BDS]     CPU usage after pre_inlining_const_prop = 11.883u 1.182s 13.065 0:18.000
     [UI-BDS]     MEM usage after pre_inlining_const_prop = 131.867m 342.922p
     [UI-BDS]     CPU usage after handle_cpp_initializations = 11.883u 1.182s 13.065 0:18.000
     [UI-BDS]     MEM usage after handle_cpp_initializations = 131.867m 342.922p
     [UI-BDS]     CPU usage after create_init_for_uninitialized_global_ctype_decls = 11.884u 1.182s 13.066 0:18.000
     [UI-BDS]     MEM usage after create_init_for_uninitialized_global_ctype_decls = 131.868m 342.922p
     [UI-BDS]     CPU usage after blast_floating_point_array_access = 11.884u 1.182s 13.066 0:18.000
     [UI-BDS]     MEM usage after blast_floating_point_array_access = 131.868m 342.922p
     [UI-BDS]     CPU usage after convert_init_stmt_to_cpp_init_block = 11.889u 1.182s 13.071 0:18.000
     [UI-BDS]     MEM usage after convert_init_stmt_to_cpp_init_block = 131.867m 342.922p
     [UI-BDS]     CPU usage after transform_init_block = 11.890u 1.182s 13.072 0:18.000
     [UI-BDS]     MEM usage after transform_init_block = 131.868m 342.922p
     [UI-BDS]     CPU usage after simplified_upscope_static_var_decls = 11.890u 1.182s 13.072 0:18.000
     [UI-BDS]     MEM usage after simplified_upscope_static_var_decls = 131.868m 342.922p
     [UI-BDS]     CPU usage after upscope_class_decls = 11.891u 1.182s 13.073 0:18.000
     [UI-BDS]     MEM usage after upscope_class_decls = 131.869m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking LRC is 11.892u 1.182s 13.073 0:18.000
     [CPT-PRMS]   MEM usage after checking LRC is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking ACS is 11.892u 1.182s 13.074 0:18.000
     [CPT-PRMS]   MEM usage after checking ACS is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking AIC is 11.892u 1.182s 13.074 0:18.000
     [CPT-PRMS]   MEM usage after checking AIC is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking CIA is 11.893u 1.182s 13.074 0:18.000
     [CPT-PRMS]   MEM usage after checking CIA is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking AOB is 11.893u 1.182s 13.074 0:18.000
     [CPT-PRMS]   MEM usage after checking AOB is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking MXS is 11.893u 1.182s 13.075 0:18.000
     [CPT-PRMS]   MEM usage after checking MXS is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking FXD is 11.893u 1.182s 13.075 0:18.000
     [CPT-PRMS]   MEM usage after checking FXD is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking ALS is 11.894u 1.182s 13.075 0:18.000
     [CPT-PRMS]   MEM usage after checking ALS is 131.870m 342.922p
     [CPT-PRCS]   CPU usage after checking FVI is 11.933u 1.182s 13.114 0:18.000
     [CPT-PRMS]   MEM usage after checking FVI is 131.873m 342.922p
     [CPT-PRCS]   CPU usage after checking CBU is 11.933u 1.182s 13.114 0:18.000
     [CPT-PRMS]   MEM usage after checking CBU is 131.873m 342.922p
     [CPT-PRCS]   CPU usage after checking OSA is 11.972u 1.182s 13.153 0:18.000
     [CPT-PRMS]   MEM usage after checking OSA is 131.878m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 11.972u 1.182s 13.154 0:18.000
     [UI-BDS]     MEM usage after do_design_checks = 131.877m 342.922p
     [UI-BDS]     CPU usage after remove_acinitarray_for_symbolic_memories = 11.973u 1.182s 13.154 0:18.000
     [UI-BDS]     MEM usage after remove_acinitarray_for_symbolic_memories = 131.878m 342.922p
     [UI-BDS]     CPU usage after handle_acinitarray_for_multidim_arrays = 11.973u 1.182s 13.155 0:18.000
     [UI-BDS]     MEM usage after handle_acinitarray_for_multidim_arrays = 131.878m 342.922p
     [UI-BDS]     CPU usage after cpp_predicate_continue_stmt = 11.974u 1.182s 13.155 0:18.000
     [UI-BDS]     MEM usage after cpp_predicate_continue_stmt = 131.878m 342.922p
     [UI-BDS]     CPU usage after generate_temp_for_cpp = 11.977u 1.182s 13.159 0:18.000
     [UI-BDS]     MEM usage after generate_temp_for_cpp = 131.905m 342.922p
     [UI-BDS]     CPU usage after identify_full_case = 11.978u 1.182s 13.159 0:18.000
     [UI-BDS]     MEM usage after identify_full_case = 131.905m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 18 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:44 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking NCO is 12.022u 1.182s 13.205 0:19.000
     [CPT-PRMS]   MEM usage after checking NCO is 131.912m 342.922p
     [CPT-PRCS]   CPU usage after checking ACC is 12.023u 1.183s 13.205 0:19.000
     [CPT-PRMS]   MEM usage after checking ACC is 131.912m 342.922p
     [CPT-PRCS]   CPU usage after checking SAT is 12.023u 1.183s 13.206 0:19.000
     [CPT-PRMS]   MEM usage after checking SAT is 131.912m 342.922p
     [CPT-PRCS]   CPU usage after checking ABW is 12.027u 1.184s 13.211 0:19.000
     [CPT-PRMS]   MEM usage after checking ABW is 131.918m 342.922p
     [CPT-PRCS]   CPU usage after checking ABR is 12.030u 1.185s 13.216 0:19.000
     [CPT-PRMS]   MEM usage after checking ABR is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking MDB is 12.031u 1.186s 13.216 0:19.000
     [CPT-PRMS]   MEM usage after checking MDB is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking CAS is 12.033u 1.186s 13.219 0:19.000
     [CPT-PRMS]   MEM usage after checking CAS is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking DBZ is 12.036u 1.186s 13.221 0:19.000
     [CPT-PRMS]   MEM usage after checking DBZ is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking PDD is 12.037u 1.186s 13.222 0:19.000
     [CPT-PRMS]   MEM usage after checking PDD is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking ISE is 12.040u 1.186s 13.225 0:19.000
     [CPT-PRMS]   MEM usage after checking ISE is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking CWB is 12.040u 1.186s 13.225 0:19.000
     [CPT-PRMS]   MEM usage after checking CWB is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking APT is 12.040u 1.186s 13.226 0:19.000
     [CPT-PRMS]   MEM usage after checking APT is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking CMC is 12.040u 1.186s 13.226 0:19.000
     [CPT-PRMS]   MEM usage after checking CMC is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking SUD is 12.041u 1.186s 13.226 0:19.000
     [CPT-PRMS]   MEM usage after checking SUD is 131.924m 342.922p
     [CPT-PRCS]   CPU usage after checking OVL is 12.044u 1.188s 13.233 0:19.000
     [CPT-PRMS]   MEM usage after checking OVL is 131.969m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +1s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.045u 1.188s 13.233 0:19.000
     [UI-BDS]     MEM usage after do_design_checks = 131.967m 342.922p
     [CPT-FRBB]   (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:26) Call to function 'ac_channel<ac_int<8,true>>::read' has been replaced by a black-box 'input_ac_channel_read_ln26_bbox_7'.
     [CPT-AWR]    Call to function ac_channel::write() at (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:34) is removed.
     [UI-BDS]     CPU usage after abstract_channel_io = 12.048u 1.188s 13.236 0:19.000
     [UI-BDS]     MEM usage after abstract_channel_io = 131.971m 342.922p
     [UI-BDS]     CPU usage after normalize_negating_exprs = 12.049u 1.188s 13.237 0:19.000
     [UI-BDS]     MEM usage after normalize_negating_exprs = 131.970m 342.922p
     [UI-BDS]     CPU usage after add_ac_builtin_func = 12.049u 1.188s 13.238 0:19.000
     [UI-BDS]     MEM usage after add_ac_builtin_func = 131.970m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.052u 1.189s 13.241 0:19.000
     [UI-BDS]     MEM usage after record_design_checks = 131.970m 342.922p
     [UI-BDS]     CPU usage after convert_enums_to_ints = 12.054u 1.190s 13.244 0:19.000
     [UI-BDS]     MEM usage after convert_enums_to_ints = 131.971m 342.922p
     [UI-BDS]     CPU usage after uniquify_vars_in_function = 12.055u 1.190s 13.244 0:19.000
     [UI-BDS]     MEM usage after uniquify_vars_in_function = 131.971m 342.922p
     [UI-BDS]     CPU usage after preprocess_non_orthogonal_unions = 12.056u 1.190s 13.246 0:19.000
     [UI-BDS]     MEM usage after preprocess_non_orthogonal_unions = 131.972m 342.922p
     [UI-BDS]     CPU usage after convert_bitfields_to_bitvector = 12.057u 1.190s 13.247 0:19.000
     [UI-BDS]     MEM usage after convert_bitfields_to_bitvector = 131.972m 342.922p
     [UI-BDS]     CPU usage after handle_memset = 12.058u 1.190s 13.248 0:19.000
     [UI-BDS]     MEM usage after handle_memset = 131.973m 342.922p
     [UI-BDS]     CPU usage after move_defaultassigns_inctor_tofuncs = 12.058u 1.190s 13.248 0:19.000
     [UI-BDS]     MEM usage after move_defaultassigns_inctor_tofuncs = 131.973m 342.922p
     [UI-BDS]     CPU usage after fill_assignment_operators = 12.058u 1.190s 13.249 0:19.000
     [UI-BDS]     MEM usage after fill_assignment_operators = 131.973m 342.922p
     [UI-BDS]     CPU usage after inline_functions = 12.075u 1.191s 13.266 0:19.000
     [UI-BDS]     MEM usage after inline_functions = 132.055m 342.922p
     [UI-BDS]     CPU usage after cover_check = 12.076u 1.191s 13.266 0:19.000
     [UI-BDS]     MEM usage after cover_check = 132.055m 342.922p
     [CPT-PACS]   CPU usage after 'abstracting large array at interface' is 12.077u 1.191s 13.267 0:19.000
     [CPT-PAMS]   MEM usage after 'abstracting large array at interface' is 132.057m 342.922p
     [CPT-PACS]   CPU usage after 'const prop' is 12.138u 1.191s 13.328 0:19.000
     [CPT-PAMS]   MEM usage after 'const prop' is 132.256m 342.922p
     [CPT-PACS]   CPU usage after 'synthesizing oob checks' is 12.139u 1.191s 13.329 0:19.000
     [CPT-PAMS]   MEM usage after 'synthesizing oob checks' is 132.257m 342.922p
     [CPT-PACS]   CPU usage after 'abstracting large arrays' is 12.139u 1.191s 13.330 0:19.000
     [CPT-PAMS]   MEM usage after 'abstracting large arrays' is 132.257m 342.922p
     [CPT-PACS]   CPU usage after 'cleanup' is 12.140u 1.191s 13.331 0:19.000
     [CPT-PAMS]   MEM usage after 'cleanup' is 132.257m 342.922p
     [CPT-PACS]   CPU usage after 'update unused large array size' is 12.141u 1.191s 13.331 0:19.000
     [CPT-PAMS]   MEM usage after 'update unused large array size' is 132.257m 342.922p
     [UI-BDS]     CPU usage after abstract_large_arrays = 12.141u 1.191s 13.332 0:19.000
     [UI-BDS]     MEM usage after abstract_large_arrays = 132.064m 342.922p
     [UI-BDS]     CPU usage after cleanup = 12.142u 1.191s 13.332 0:19.000
     [UI-BDS]     MEM usage after cleanup = 132.054m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking CNS is 12.214u 1.192s 13.405 0:19.000
     [CPT-PRMS]   MEM usage after checking CNS is 132.061m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.214u 1.192s 13.406 0:19.000
     [UI-BDS]     MEM usage after do_design_checks = 132.060m 342.922p
     [UI-BDS]     CPU usage after const_prop_for_cpp = 12.273u 1.193s 13.465 0:19.000
     [UI-BDS]     MEM usage after const_prop_for_cpp = 132.047m 342.922p
     [UI-BDS]     CPU usage after handle_new = 12.273u 1.193s 13.466 0:19.000
     [UI-BDS]     MEM usage after handle_new = 132.048m 342.922p
     [UI-BDS]     CPU usage after inline_functions = 12.280u 1.193s 13.473 0:19.000
     [UI-BDS]     MEM usage after inline_functions = 132.048m 342.922p
     [UI-BDS]     CPU usage after prune_dead_selects = 12.282u 1.193s 13.474 0:19.000
     [UI-BDS]     MEM usage after prune_dead_selects = 132.043m 342.922p
     [UI-BDS]     CPU usage after infer_power_up_values = 12.282u 1.193s 13.475 0:19.000
     [UI-BDS]     MEM usage after infer_power_up_values = 132.044m 342.922p
     [UI-BDS]     CPU usage after natively_handle_ac_builtin_func = 12.283u 1.193s 13.476 0:19.000
     [UI-BDS]     MEM usage after natively_handle_ac_builtin_func = 132.044m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking STF is 12.283u 1.194s 13.476 0:19.000
     [CPT-PRMS]   MEM usage after checking STF is 132.045m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.283u 1.194s 13.477 0:19.000
     [UI-BDS]     MEM usage after do_design_checks = 132.044m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.286u 1.196s 13.482 0:19.000
     [UI-BDS]     MEM usage after record_design_checks = 132.044m 342.922p
     [UI-BDS]     CPU usage after synthesize_ac_sc_fixed_logic = 12.288u 1.196s 13.484 0:19.000
     [UI-BDS]     MEM usage after synthesize_ac_sc_fixed_logic = 132.044m 342.922p
     [UI-BDS]     CPU usage after handle_ac_probes = 12.288u 1.196s 13.485 0:19.000
     [UI-BDS]     MEM usage after handle_ac_probes = 132.045m 342.922p
     [UI-BDS]     CPU usage after canonize_cpt_for_cpp = 12.291u 1.197s 13.488 0:19.000
     [UI-BDS]     MEM usage after canonize_cpt_for_cpp = 132.045m 342.922p
     [UI-BDS]     CPU usage after handle_ccores = 12.301u 1.197s 13.498 0:19.000
     [UI-BDS]     MEM usage after handle_ccores = 132.181m 342.922p
     [UI-BDS]     CPU usage after inline_functions = 12.322u 1.197s 13.520 0:19.000
     [UI-BDS]     MEM usage after inline_functions = 132.535m 342.922p
     [UI-BDS]     CPU usage after const_prop_for_cpp = 12.400u 1.197s 13.598 0:19.000
     [UI-BDS]     MEM usage after const_prop_for_cpp = 132.551m 342.922p
     [UI-BDS]     CPU usage after identify_wait_in_loops = 12.401u 1.197s 13.599 0:19.000
     [UI-BDS]     MEM usage after identify_wait_in_loops = 132.552m 342.922p
     [UI-BDS]     CPU usage after identify_unrolled_loops = 12.404u 1.197s 13.602 0:19.000
     [UI-BDS]     MEM usage after identify_unrolled_loops = 132.552m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+1MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking RIU is 12.405u 1.197s 13.603 0:19.000
     [CPT-PRMS]   MEM usage after checking RIU is 132.553m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.405u 1.197s 13.603 0:19.000
     [UI-BDS]     MEM usage after do_design_checks = 132.552m 342.922p
     [UI-BDS]     CPU usage after remove_trailingstmts_after_jumpstmts = 12.407u 1.197s 13.605 0:19.000
     [UI-BDS]     MEM usage after remove_trailingstmts_after_jumpstmts = 132.552m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.412u 1.198s 13.610 0:19.000
     [UI-BDS]     MEM usage after record_design_checks = 132.552m 342.922p
     [CPT-ULI]    Loop at '/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:14' is unrolled.
